split_type,dataset,fingerprint,model,training,r2,rmse,mae,mse,n_samples,r2_std,rmse_std,r2_mean_folds,rmse_mean_folds
cs,de,morgan,DNN,cv,0.6392815857578085,1.2836667776069417,0.9616870040055117,1.6478003959317895,225,0.01977443218985423,0.03389675724234667,0.607072746649943,1.3393225289542157
cs,de,morgan,DNN,simple,0.6827673744567249,1.2038075636053958,0.9058848687405056,1.4491526501935588,225,,,,
cs,de,morgan,LightGBM,cv,0.5649232396560036,1.4097791650953249,1.0721166378392792,1.9874772943368715,225,0.0132103661463358,0.02072987002339914,0.5365255581813672,1.4549127880640982
cs,de,morgan,LightGBM,simple,0.5424277207543485,1.4457659689119864,1.1002604862125809,2.0902392368640146,225,,,,
cs,de,morgan,RandomForest,cv,0.5550753539890105,1.4256449389830732,1.0875826017643095,2.03246349204805,225,0.011027484195595044,0.017339171796022807,0.5362302857156903,1.4554206051139331
cs,de,morgan,RandomForest,simple,0.550658504970922,1.4327037837527388,1.0811385058911456,2.0526401319794143,225,,,,
cs,de,morgan,Ridge,cv,-0.0578332251935989,2.198248303460218,1.6872944572847017,4.8322956036657265,225,0.0756728614774055,0.0711682016232498,-0.2718060633157835,2.409290675592477
cs,de,morgan,Ridge,simple,-0.4869427455135089,2.606245173752482,1.9981136229027314,6.7925139057081045,225,,,,
cs,de,morgan,SVR,cv,0.2515649725756335,1.849035278091298,1.4442816827701321,3.4189314596261635,225,0.008728977868671786,0.010779711724418658,0.24858002647868815,1.8526874564498397
cs,de,morgan,SVR,simple,0.2857285421732937,1.8063412220175445,1.4052557624797297,3.2628686103598366,225,,,,
cs,de,morgan,XGBoost,cv,0.631130685762092,1.2980888186597888,0.9797554510968263,1.6850345811295662,225,0.028578963992416783,0.04702953957929941,0.5715428592434522,1.3982225805105322
cs,de,morgan,XGBoost,simple,0.6186509624073065,1.3198648777845985,0.9953482403405838,1.7420432956093532,225,,,,
cs,hu,avalon,DNN,cv,0.7201461144360738,1.0691640058418916,0.798757091810306,1.1431116713878806,258,0.011697212960904214,0.021186289071148605,0.6904974411066451,1.124174343440027
cs,hu,avalon,DNN,simple,0.7163992434661504,1.0762975494216218,0.8006912500682728,1.1584164148909883,258,,,,
cs,hu,avalon,LightGBM,cv,0.7373266733227091,1.0358256140050648,0.7952925238305723,1.0729347026289695,258,0.01195021306391862,0.0228741013461896,0.7156481909801264,1.07747899949547
