dataset,split,fp_combo,model,RMSE,MAE,R2,CV_train_R2_mean,CV_train_R2_std,CV_val_R2_mean,CV_val_R2_std
lo,rm,morgan+maccs+avalon,DNN,0.844527,0.612425,0.709428,0.6581288,0.07728812477321467,0.6581288,0.07728812477321467
lo,sc,morgan,DNN,0.866061,0.683845,0.099944,0.5353548,0.04901479036127768,0.5353548,0.04901479036127768
lo,sc,maccs,DNN,1.585344,1.311918,-2.015921,0.5925064,0.022628920651237432,0.5925064,0.022628920651237432
lo,sc,avalon,DNN,0.903683,0.706963,0.020048,0.6058314000000001,0.029793927499408325,0.6058314000000001,0.029793927499408325
lo,sc,morgan+maccs,DNN,0.93636,0.76744,-0.052103,0.6188224,0.032361360271780916,0.6188224,0.032361360271780916
lo,sc,morgan+avalon,DNN,0.885535,0.694824,0.059011,0.6333204,0.015282575811688319,0.6333204,0.015282575811688319
lo,sc,maccs+avalon,DNN,0.914326,0.721201,-0.003171,0.6327309999999999,0.01782486446512288,0.6327309999999999,0.01782486446512288
lo,sc,morgan+maccs+avalon,DNN,1.005055,0.811337,-0.212138,0.6575648000000001,0.02555328560792136,0.6575648000000001,0.02555328560792136
lo,cs,morgan,DNN,1.425797,1.014371,0.386383,0.6222168,0.0464568718077315,0.6222168,0.0464568718077315
lo,cs,maccs,DNN,1.344422,0.98181,0.454426,0.701203,0.03486263389361167,0.701203,0.03486263389361167
lo,cs,avalon,DNN,1.378309,1.028724,0.426577,0.7009358,0.006204923380671179,0.7009358,0.006204923380671179
lo,cs,morgan+maccs,DNN,1.306179,0.93869,0.485023,0.6940652,0.04480674761863441,0.6940652,0.04480674761863441
lo,cs,morgan+avalon,DNN,1.329524,0.968073,0.466451,0.6953940000000001,0.018677360819987398,0.6953940000000001,0.018677360819987398
lo,cs,maccs+avalon,DNN,1.32714,0.958091,0.468362,0.7419996,0.020066756355724243,0.7419996,0.020066756355724243
lo,cs,morgan+maccs+avalon,DNN,1.306714,0.942008,0.484601,0.7237085999999999,0.02853715274234626,0.7237085999999999,0.02853715274234626
lo,cl,morgan,DNN,1.269782,0.940884,0.357292,0.5824170000000001,0.040447015692137295,0.5824170000000001,0.040447015692137295
lo,cl,maccs,DNN,1.102538,0.850903,0.515446,0.6332172,0.0629181904870126,0.6332172,0.0629181904870126
lo,cl,avalon,DNN,1.255404,0.967312,0.371764,0.6284242000000001,0.03331560067836091,0.6284242000000001,0.03331560067836091
lo,cl,morgan+maccs,DNN,1.103515,0.842049,0.514587,0.6449414,0.03565942039686006,0.6449414,0.03565942039686006
lo,cl,morgan+avalon,DNN,1.227588,0.93054,0.399296,0.6692616000000001,0.023805748873748964,0.6692616000000001,0.023805748873748964
lo,cl,maccs+avalon,DNN,1.20708,0.933807,0.419199,0.6738586,0.027522731046173456,0.6738586,0.027522731046173456
lo,cl,morgan+maccs+avalon,DNN,1.1376,0.858545,0.484137,0.6716122,0.03079355558814215,0.6716122,0.03079355558814215
lo,pc,morgan,DNN,0.998085,0.724701,0.634475,0.58279,0.07977361694946519,0.58279,0.07977361694946519
lo,pc,maccs,DNN,1.051039,0.729289,0.59466,0.674983,0.024449099648044315,0.674983,0.024449099648044315
lo,pc,avalon,DNN,0.989653,0.708508,0.640625,0.6205024,0.0729710244894506,0.6205024,0.0729710244894506
lo,pc,morgan+maccs,DNN,0.966106,0.67019,0.657523,0.6571697999999999,0.05575881980601815,0.6571697999999999,0.05575881980601815
lo,pc,morgan+avalon,DNN,0.960108,0.683113,0.661762,0.6444818,0.057237088970002674,0.6444818,0.057237088970002674
